日期,開盤,最高,最低,收盤,漲跌,漲跌(%),成交張數
2023/04/21,520.00,520.00,510.00,511.00,-2.00,-0.39%,"25,440"
2023/04/20,512.00,516.00,510.00,513.00,3.00,0.59%,"21,002"
2023/04/19,517.00,518.00,509.00,510.00,-5.00,-0.97%,"23,209"
2023/04/18,518.00,520.00,514.00,515.00,-5.00,-0.96%,"15,687"
2023/04/17,519.00,520.00,514.00,520.00,4.00,0.78%,"17,895"
2023/04/14,516.00,520.00,513.00,516.00,6.00,1.18%,"21,174"
2023/04/13,515.00,517.00,510.00,510.00,-10.00,-1.92%,"27,501"
2023/04/12,523.00,524.00,517.00,520.00,-4.00,-0.76%,"24,772"
2023/04/11,522.00,527.00,522.00,524.00,-5.00,-0.95%,"23,087"
2023/04/10,533.00,533.00,528.00,529.00,-2.00,-0.38%,"8,203"
2023/04/07,535.00,535.00,529.00,531.00,1.00,0.19%,"11,114"
2023/04/06,530.00,531.00,526.00,530.00,-3.00,-0.56%,"26,706"
2023/03/31,538.00,538.00,532.00,533.00,-2.00,-0.37%,"24,324"
2023/03/30,536.00,537.00,531.00,535.00,5.00,0.94%,"20,380"
2023/03/29,533.00,533.00,525.00,530.00,5.00,0.95%,"17,620"
2023/03/28,525.00,530.00,524.00,525.00,-6.00,-1.13%,"18,327"
2023/03/27,533.00,536.00,531.00,531.00,-8.00,-1.48%,"17,170"
2023/03/24,536.00,539.00,535.00,539.00,1.00,0.19%,"22,963"
2023/03/23,528.00,539.00,528.00,538.00,5.00,0.94%,"28,614"
2023/03/22,524.00,533.00,524.00,533.00,16.00,3.09%,"45,681"
2023/03/21,515.00,517.00,512.00,517.00,5.00,0.98%,"18,519"
2023/03/20,517.00,518.00,510.00,512.00,-6.00,-1.16%,"12,752"
2023/03/17,516.00,518.00,513.00,518.00,13.00,2.57%,"35,872"
2023/03/16,505.00,510.00,504.00,505.00,-6.00,-1.17%,"23,325"
2023/03/15,515.00,516.00,510.00,511.00,1.00,0.20%,"24,080"
2023/03/14,511.00,514.00,510.00,510.00,-6.00,-1.16%,"26,599"
2023/03/13,513.00,518.00,509.00,516.00,3.00,0.58%,"22,568"
2023/03/10,515.00,516.00,511.00,513.00,-9.00,-1.72%,"25,572"
2023/03/09,525.00,526.00,522.00,522.00,1.00,0.19%,"25,639"
2023/03/08,521.00,523.00,518.00,521.00,-3.00,-0.57%,"27,077"
2023/03/07,521.00,526.00,519.00,524.00,3.00,0.58%,"27,650"
2023/03/06,520.00,524.00,517.00,521.00,5.00,0.97%,"24,741"
2023/03/03,524.00,525.00,516.00,516.00,-3.00,-0.58%,"24,117"
2023/03/02,519.00,520.00,515.00,519.00,-3.00,-0.57%,"16,755"
2023/03/01,504.00,522.00,504.00,522.00,11.00,2.15%,"45,971"
2023/02/24,524.00,525.00,511.00,511.00,-7.00,-1.35%,"48,372"
2023/02/23,512.00,521.00,510.00,518.00,11.00,2.17%,"26,801"
2023/02/22,506.00,509.00,505.00,507.00,-9.00,-1.74%,"26,578"
2023/02/21,515.00,517.00,513.00,516.00,-1.00,-0.19%,"15,097"
2023/02/20,514.00,519.00,511.00,517.00,-1.00,-0.19%,"21,181"
2023/02/17,524.00,524.00,516.00,518.00,-10.00,-1.89%,"29,673"
2023/02/16,528.00,531.00,524.00,528.00,3.00,0.57%,"33,509"
2023/02/15,526.00,532.00,522.00,525.00,-20.00,-3.67%,"66,068"
2023/02/14,544.00,546.00,543.00,545.00,4.00,0.74%,"23,855"
2023/02/13,544.00,544.00,538.00,541.00,-4.00,-0.73%,"23,903"
2023/02/10,544.00,546.00,541.00,545.00,5.00,0.93%,"30,445"
2023/02/09,540.00,540.00,536.00,540.00,0.00,0.00%,"22,311"
2023/02/08,538.00,540.00,534.00,540.00,17.00,3.25%,"37,633"
2023/02/07,524.00,528.00,522.00,523.00,-3.00,-0.57%,"24,362"
2023/02/06,532.00,533.00,526.00,526.00,-16.00,-2.95%,"32,208"
2023/02/03,540.00,542.00,536.00,542.00,2.00,0.37%,"34,156"
2023/02/02,538.00,542.00,537.00,540.00,10.00,1.89%,"46,523"
2023/02/01,532.00,533.00,522.00,530.00,8.00,1.53%,"42,539"
2023/01/31,537.00,538.00,521.00,522.00,-21.00,-3.87%,"79,212"
2023/01/30,542.00,543.00,534.00,543.00,40.00,7.95%,"148,413"
2023/01/17,504.00,504.00,499.50,503.00,-2.00,-0.40%,"29,443"
2023/01/16,506.00,508.00,503.00,505.00,5.00,1.00%,"38,781"
2023/01/13,507.00,509.00,499.00,500.00,13.50,2.77%,"81,848"
2023/01/12,487.50,488.00,484.00,486.50,2.00,0.41%,"22,416"
2023/01/11,487.00,488.00,482.00,484.50,-1.50,-0.31%,"21,749"
2023/01/10,486.00,487.00,483.00,486.00,5.00,1.04%,"34,785"
2023/01/09,468.00,481.00,467.50,481.00,22.50,4.91%,"49,186"
2023/01/06,455.00,459.50,455.00,458.50,0.00,0.00%,"21,313"
2023/01/05,459.00,459.50,455.00,458.50,9.00,2.00%,"23,972"
2023/01/04,449.50,455.00,448.50,449.50,-3.50,-0.77%,"20,626"
